年份,情景,上下限制度,是否模型默认,有关入息下限_港元每月,有关入息上限_港元每月,上下限生效说明,雇员强制费率,雇主强制费率,强积金覆盖率,劳动年龄人口_万人,劳动参与率,就业率,缴费人数_万人,平均有关入息_港元每月,年强制性供款_亿港元,自愿性供款占比,年自愿性供款_亿港元,年总供款_亿港元,取消对冲生效日,取消对冲处理,校准锚点说明,真实或假设,来源或假设
2026,高,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,464.21,0.6,0.97,280.4107,18500.0,622.51,0.26,218.72,841.23,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2027,高,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,461.9047,0.5985,0.97,278.3206,22880.0,764.16,0.26,268.49,1032.64,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2027,高,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,461.9047,0.5985,0.97,278.3206,19240.0,642.59,0.26,225.77,868.36,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2028,高,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,459.8752,0.597,0.97,276.4033,23795.2,789.25,0.26,277.3,1066.55,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2028,高,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,459.8752,0.597,0.97,276.4033,20009.6,663.69,0.26,233.19,896.87,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2029,高,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,458.1182,0.5955,0.97,274.6554,24747.0,815.63,0.26,286.57,1102.2,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2029,高,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,458.1182,0.5955,0.97,274.6554,20810.0,685.87,0.26,240.98,926.85,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2030,高,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,456.6302,0.594,0.97,273.0737,25736.9,843.37,0.26,296.32,1139.69,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2030,高,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,456.6302,0.594,0.97,273.0737,21642.4,709.2,0.26,249.18,958.37,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2031,高,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,455.4078,0.5925,0.97,271.6549,26766.4,872.55,0.26,306.57,1179.12,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2031,高,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,455.4078,0.5925,0.97,271.6549,22508.1,733.73,0.26,257.8,991.53,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2032,高,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,454.6989,0.591,0.97,270.5455,27837.0,903.74,0.26,317.53,1221.27,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2032,高,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,454.6989,0.591,0.97,270.5455,23408.4,759.96,0.26,267.01,1026.98,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2033,高,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,454.2212,0.5895,0.97,269.5753,28950.5,936.52,0.26,329.05,1265.57,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2033,高,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,454.2212,0.5895,0.97,269.5753,24344.7,787.53,0.26,276.7,1064.23,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2034,高,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,453.9715,0.588,0.97,268.7415,30108.5,970.97,0.26,341.15,1312.12,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2034,高,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,453.9715,0.588,0.97,268.7415,25318.5,816.5,0.26,286.88,1103.37,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2035,高,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,453.9472,0.5865,0.97,268.0416,31312.9,1007.18,0.26,353.87,1361.05,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2035,高,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,453.9472,0.5865,0.97,268.0416,26331.3,846.95,0.26,297.58,1144.52,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2036,高,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,454.1454,0.585,0.97,267.4728,32565.4,1045.24,0.26,367.25,1412.49,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2036,高,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,454.1454,0.585,0.97,267.4728,27384.5,878.95,0.26,308.82,1187.78,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2037,高,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,452.5729,0.5835,0.97,265.8632,33868.0,1080.51,0.26,379.64,1460.15,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2037,高,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,452.5729,0.5835,0.97,265.8632,28479.9,908.61,0.26,319.24,1227.85,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2038,高,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,450.7116,0.582,0.97,264.0891,35222.7,1116.23,0.26,392.19,1508.42,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2038,高,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,450.7116,0.582,0.97,264.0891,28500.0,903.18,0.26,317.34,1220.52,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2039,高,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,448.5637,0.5805,0.97,262.1532,36631.6,1152.37,0.26,404.89,1557.26,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2039,高,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,448.5637,0.5805,0.97,262.1532,28500.0,896.56,0.26,315.01,1211.57,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2040,高,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,446.1313,0.579,0.97,260.0579,38000.0,1185.86,0.26,416.65,1602.52,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2040,高,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,446.1313,0.579,0.97,260.0579,28500.0,889.4,0.26,312.49,1201.89,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2041,高,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,443.4165,0.5775,0.97,257.8058,38000.0,1175.59,0.26,413.05,1588.64,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2041,高,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,443.4165,0.5775,0.97,257.8058,28500.0,881.7,0.26,309.79,1191.48,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2042,高,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,441.3816,0.576,0.97,255.9561,38000.0,1167.16,0.26,410.08,1577.24,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2042,高,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,441.3816,0.576,0.97,255.9561,28500.0,875.37,0.26,307.56,1182.93,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2043,高,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,439.005,0.5745,0.97,253.915,38000.0,1157.85,0.26,406.81,1564.67,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2043,高,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,439.005,0.5745,0.97,253.915,28500.0,868.39,0.26,305.11,1173.5,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2044,高,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,436.2887,0.573,0.97,251.6851,38000.0,1147.68,0.26,403.24,1550.92,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2044,高,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,436.2887,0.573,0.97,251.6851,28500.0,860.76,0.26,302.43,1163.19,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2045,高,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,433.2349,0.5715,0.97,249.2691,38000.0,1136.67,0.26,399.37,1536.04,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2045,高,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,433.2349,0.5715,0.97,249.2691,28500.0,852.5,0.26,299.53,1152.03,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2046,高,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,429.8456,0.57,0.97,246.6699,38000.0,1124.81,0.26,395.21,1520.02,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2046,高,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,429.8456,0.57,0.97,246.6699,28500.0,843.61,0.26,296.4,1140.01,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2047,高,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,426.2796,0.5685,0.97,243.9798,38000.0,1112.55,0.26,390.9,1503.44,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
